A 313 200 000 UI POUR CENT, POMMADE
PARACETAMOL ARROW 500 MG, GÉLULE
PARACETAMOL ARROW 500 MG, POUDRE POUR SOLUTION BUVABLE EN SACHET-DOSE
PARACETAMOL ARROW CONSEIL 1000 MG, COMPRIMÉ
PARACETAMOL ARROW CONSEIL 500 MG, COMPRIMÉ
PARACETAMOL ARROW LAB 1000 MG, POUDRE POUR SOLUTION BUVABLE
PARACETAMOL ARROW LAB 300 MG, POUDRE POUR SOLUTION BUVABLE
PARACETAMOL ARROW LAB 500 MG POUDRE POUR SOLUTION BUVABLE
PARACETAMOL ARROW LAB 500 MG, GÉLULE
PARACETAMOL B. BRAUN 10 MG/ML, SOLUTION POUR PERFUSION
PARACETAMOL BIOGARAN 1 G, COMPRIMÉ
PARACETAMOL BIOGARAN 1000 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL BIOGARAN 1000 MG, POUDRE POUR SOLUTION BUVABLE EN SACHET-DOSE
PARACETAMOL BIOGARAN 300 MG, POUDRE POUR SOLUTION BUVABLE EN SACHET-DOSE
PARACETAMOL BIOGARAN 500 MG, COMPRIMÉ
PARACETAMOL BIOGARAN 500 MG, COMPRIMÉ EFFERVESCENT
PARACETAMOL BIOGARAN 500 MG, GÉLULE
PARACETAMOL BIOGARAN 500 MG, POUDRE POUR SOLUTION BUVABLE EN SACHET-DOSE
PARACETAMOL BIOGARAN CONSEIL 1000 MG, COMPRIMÉ
PARACETAMOL BIOGARAN CONSEIL 500 MG, COMPRIMÉ
PARACETAMOL CHLORPHENAMINE VITAMINE C CLARIX, POUDRE POUR SOLUTION BUVABLE EN SACHET
PARACETAMOL CODEINE ARROW 500 MG/30 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL CODEINE BIOGARAN 500 MG/30 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL CODEINE CRISTERS 500 MG/30 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL CODEINE EG 500 MG/30 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL CODEINE MYLAN 500 MG/30 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL CODEINE SANDOZ 500 MG/30 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL CRISTERS 1 G, COMPRIMÉ SÉCABLE
PARACETAMOL CRISTERS 1000 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL CRISTERS 500 MG, COMPRIMÉ
PARACETAMOL CRISTERS 500 MG, GÉLULE
PARACETAMOL CRISTERS PHARMA 500 MG, GÉLULE
PARACETAMOL EG 1 G, COMPRIMÉ
PARACETAMOL EG 1000 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL EG 500 MG, COMPRIMÉ
PARACETAMOL EG 500 MG, COMPRIMÉ EFFERVESCENT
PARACETAMOL EG 500 MG, GÉLULE
PARACETAMOL EG LABO CONSEIL 500 MG, COMPRIMÉ
PARACETAMOL EVOLUGEN 1 G, COMPRIMÉ SÉCABLE
PARACETAMOL EVOLUGEN 500 MG, GÉLULE
PARACETAMOL KABI 10 MG/ML, SOLUTION POUR PERFUSION
PARACETAMOL KRKA 1000 MG, COMPRIMÉ SÉCABLE
PARACETAMOL KRKA 500 MG, COMPRIMÉ
PARACETAMOL PANPHARMA 10 MG/ML, SOLUTION POUR PERFUSION
PARACETAMOL SANDOZ 1 G, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL SANDOZ 1 G, COMPRIMÉ SÉCABLE
PARACETAMOL SANDOZ 500 MG, COMPRIMÉ
PARACETAMOL SANDOZ 500 MG, COMPRIMÉ EFFERVESCENT
PARACETAMOL SANDOZ 500 MG, GÉLULE
PARACETAMOL SANDOZ CONSEIL 500 MG, COMPRIMÉ
PARACETAMOL SUN 1 G, COMPRIMÉ SÉCABLE
PARACETAMOL TEVA 1 G, COMPRIMÉ
PARACETAMOL TEVA 500 MG, COMPRIMÉ
PARACETAMOL TEVA 500 MG, GÉLULE
PARACETAMOL TEVA CONSEIL 500 MG, COMPRIMÉ
PARACETAMOL TEVA SANTE 1000 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL TEVA SANTE 500 MG, COMPRIMÉ EFFERVESCENT
PARACETAMOL VIATRIS 1000 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL VIATRIS 1000 MG, COMPRIMÉ SÉCABLE
PARACETAMOL VIATRIS 500 MG, COMPRIMÉ
PARACETAMOL VIATRIS 500 MG, COMPRIMÉ EFFERVESCENT
PARACETAMOL VIATRIS 500 MG, GÉLULE
PARACETAMOL VIATRIS CONSEIL 1000 MG, COMPRIMÉ SÉCABLE
PARACETAMOL VIATRIS CONSEIL 500 MG, COMPRIMÉ
PARACETAMOL VJ-PHARM 500 MG, GRANULÉS ORODISPERSIBLES
PARACETAMOL ZENTIVA 1000 MG, COMPRIMÉ
PARACETAMOL ZENTIVA 1000 MG, COMPRIMÉ EFFERVESCENT SÉCABLE
PARACETAMOL ZENTIVA 500 MG, COMPRIMÉ
PARACETAMOL ZENTIVA 500 MG, GÉLULE
PARACETAMOL ZENTIVA K.S. 500 MG, COMPRIMÉ
PARACETAMOL ZENTIVA LAB 1 G, COMPRIMÉ
PARACETAMOL ZENTIVA LAB 500 MG, COMPRIMÉ SÉCABLE
PARACETAMOL ZYDUS 1 G, COMPRIMÉ
PARACETAMOL ZYDUS 500 MG, COMPRIMÉ
PARACETAMOL/CAFEINE/CODEINE ARROW 400 MG/50 MG/20 MG, COMPRIMÉ
PARACETAMOL/CAFEINE/CODEINE BIOGARAN 400 MG/50 MG/20 MG, GÉLULE
PARACETAMOL/CAFEINE/CODEINE VIATRIS 400 MG/50 MG/20 MG, COMPRIMÉ
PARACETAMOL/CODEINE BIOGARAN 500 MG/30 MG, COMPRIMÉ
PARACETAMOL/CODEINE PIERRE FABRE 300 MG/25 MG, COMPRIMÉ
PARACETAMOL/CODEINE PIERRE FABRE 600 MG/50 MG, COMPRIMÉ
PARACETAMOL/CODEINE TEVA 500 MG/30 MG, COMPRIMÉ PELLICULÉ
PARACETAMOL/CODEINE VIATRIS 500 MG/30 MG, COMPRIMÉ
PARACETAMOL/VITAMINE C/PHENIRAMINE MYLAN CONSEIL 500 MG/200 MG/25 MG, POUDRE POUR SOLUTION BUVABLE EN SACHET
PARACETAMOL/VITAMINE C/PHENIRAMINE SANDOZ CONSEIL 500 MG/200 MG/25 MG, POUDRE POUR SOLUTION BUVABLE EN SACHET
PARACETAMOL/VITAMINE C/PHENIRAMINE VIATRIS CONSEIL SANS SUCRE 500 MG/200 MG/25 MG, POUDRE POUR SOLUTION BUVABLE EN SACHET ÉDULCORÉE À LASPARTAM
PARAGRIPPE, COMPRIMÉ
PARALYOC 250 MG, LYOPHILISAT ORAL
PARALYOC 500 MG, LYOPHILISAT ORAL
PARAMINAN 500 MG, COMPRIMÉ ENROBÉ
PARAPSYLLIUM, POUDRE POUR SUSPENSION BUVABLE EN SACHET
PARASIDOSE, SHAMPOOING
PARATERAX 8 MG/2,5 MG, COMPRIMÉ
PARATHYROIDINUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
PARATHYROIDINUM WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
PARATYPHOIDINUM B BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
PAREIRA BRAVA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH À 30CH ET 4DH À 60DH
PARGINE 5 G, SOLUTION BUVABLE EN AMPOULES
PARIET 10 MG, COMPRIMÉ GASTRO-RÉSISTANT
PARIET 10 MG, COMPRIMÉ GASTRO-RÉSISTANT
PARIET 20 MG, COMPRIMÉ GASTRO-RÉSISTANT
PARIET 20 MG, COMPRIMÉ GASTRO-RÉSISTANT
PARIET 20 MG, COMPRIMÉ GASTRO-RÉSISTANT
PARIETARIA OFFICINALIS BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
PARIS QUADRIFOLIA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
PARIS QUADRIFOLIA LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 7DH ET 60DH
PARKINANE LP 2 MG, GÉLULE À LIBÉRATION PROLONGÉE
PARKINANE LP 5 MG, GÉLULE À LIBÉRATION PROLONGÉE
PARLODEL 10 MG, GÉLULE
PARLODEL 2,5 MG INHIBITION DE LA LACTATION, COMPRIMÉ SÉCABLE
PARLODEL 2,5 MG, COMPRIMÉ SÉCABLE
PARLODEL 5 MG, GÉLULE
PAROCLINE 2 %, GEL POUR USAGE DENTAIRE
PAROEX 0,12 POUR CENT, SOLUTION POUR BAIN DE BOUCHE
PAROTIDINUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
PAROXETINE ALMUS 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE ALTER 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE ARROW 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE BIOGARAN 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE CRISTERS 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE EG 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE EVOLUGEN 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE SANDOZ 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE SUN 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE TEVA 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE VIATRIS 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE ZENTIVA 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PAROXETINE ZYDUS 20 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PARSABIV 10 MG, SOLUTION INJECTABLE
PARSABIV 2,5 MG, SOLUTION INJECTABLE
PARSABIV 5 MG, SOLUTION INJECTABLE
PASSEDYL ENFANTS ET NOURRISSONS, SIROP
PASSIFLORA COMPLEXE N°57, SOLUTION BUVABLE EN GOUTTES
PASSIFLORA COMPOSE
PASSIFLORA INCARNATA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
PASSIFLORA INCARNATA LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
PASSIFLORA INCARNATA TEINTURE MERE BOIRON, LIQUIDE ORAL
PASSIFLORA INCARNATA WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
PASSIFLORINE, SOLUTION BUVABLE EN FLACON
PASTILLES MEDICINALES VICKS MENTHOL EUCALYPTUS, PASTILLE À SUCER
PATES BAUDRY, PÂTE À SUCER
PATES DE REGLISSE AU SAMBUCUS, PÂTE À SUCER
PATES PECTORALES LHF À LA MANDARINE, PÂTE À SUCER
PAXELADINE 0,2 POUR CENT, SIROP
PAXLOVID 150 MG + 100 MG, COMPRIMÉ PELLICULÉ
PAZENIR 5 MG/ML, POUDRE POUR DISPERSION POUR PERFUSION
PEAU BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
PECFENT 100 MICROGRAMMES/PULVÉRISATION, SOLUTION POUR PULVÉRISATION NASALE
PECFENT 400 MICROGRAMMES/PULVÉRISATION, SOLUTION POUR PULVÉRISATION NASALE
PEDEA 5 MG/ML, SOLUTION INJECTABLE
PEDIAVEN AP-HP G15, SOLUTION POUR PERFUSION
PEDIAVEN AP-HP G20, SOLUTION POUR PERFUSION
PEDIAVEN AP-HP G25, SOLUTION POUR PERFUSION
PEDIAVEN AP-HP NOUVEAU-NE 1, SOLUTION POUR PERFUSION
PEDIAVEN AP-HP NOUVEAU-NE 2, SOLUTION POUR PERFUSION
PEDIAVEN AP-HP NOUVEAU-NE SANS OLIGO-ELEMENTS, SOLUTION POUR PERFUSION
PEGASYS 135 MICROGRAMMES, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
PEGASYS 180 MICROGRAMMES, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
PEGASYS 90 MICROGRAMMES, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
PELARGONIUM ODORATISSIMUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
PELARGONIUM PHYTOCLARIX, COMPRIMÉ PELLICULÉ
PELGRAZ 6 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
PELGRAZ 6 MG, SOLUTION INJECTABLE EN STYLO INJECTEUR PRÉREMPLI
PELMEG 6 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
PEMAZYRE 13,5 MG, COMPRIMÉ
PEMAZYRE 4,5 MG, COMPRIMÉ
PEMAZYRE 9 MG, COMPRIMÉ
PEMETREXED ACCORD 25 MG/ML, SOLUTION À DILUER POUR PERFUSION
PEMETREXED EG 25 MG/ML, SOLUTION À DILUER POUR PERFUSION
PEMETREXED EVER PHARMA 25 MG/ML, SOLUTION À DILUER POUR PERFUSION
PEMETREXED FRESENIUS KABI 100 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
PEMETREXED FRESENIUS KABI 25 MG/ML, SOLUTION À DILUER POUR PERFUSION
PEMETREXED FRESENIUS KABI 500 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
PEMETREXED HOSPIRA 100 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
PEMETREXED HOSPIRA 1000 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
PEMETREXED HOSPIRA 25 ML/ML, SOLUTION À DILUER POUR PERFUSION
PEMETREXED HOSPIRA 500 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
PEMETREXED STRAGEN 25 MG/ML, SOLUTION À DILUER POUR PERFUSION
PEMETREXED VIATRIS 25 MG/ML, SOLUTION À DILUER POUR PERFUSION
PEMETREXED ZENTIVA 25 MG/ML, SOLUTION À DILUER POUR PERFUSION
PENICILLINE G PANPHARMA 1 000 000 UI, POUDRE POUR USAGE PARENTÉRAL
PENICILLINE G PANPHARMA 5 000 000 UI, POUDRE POUR USAGE PARENTÉRAL
PENICILLIUM CANDIDUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
PENTACARINAT 300 MG, POUDRE POUR AÉROSOL ET POUR USAGE PARENTÉRAL
PENTACIS, TROUSSE POUR PRÉPARATION DE LA SOLUTION INJECTABLE DE PENTÉTATE DE TECHNÉTIUM [99M TC]
PENTASA 1 G, COMPRIMÉ
PENTASA 1 G, GRANULÉS EN SACHET
PENTASA 1 G, SUPPOSITOIRE
PENTASA 1 G/100 ML, SUSPENSION RECTALE
PENTASA 2 G, GRANULÉS EN SACHET-DOSE
PENTASA 500 MG, COMPRIMÉ
PENTAVAC, POUDRE ET SUSPENSION POUR SUSPENSION INJECTABLE EN SERINGUE PRÉREMPLIE. VACCIN DIPHTÉRIQUE, TÉTANIQUE, COQUELUCHEUX (ACELLULAIRE, MULTICOMPOSÉ), POLIOMYÉLITIQUE (INACTIVÉ) ET CONJUGUÉ DE L'HAEMOPHILUS TYPE B, ADSORBÉ
PENTETATE D'INDIUM [111 IN] CURIUMPHARMA 37 MBQ/ML, SOLUTION INJECTABLE
PENTHROX 99,9 %, LIQUIDE POUR INHALATION PAR VAPEUR DE 3 ML
PENTOXIFYLLINE BIOGARAN LP 400 MG, COMPRIMÉ PELLICULÉ À LIBÉRATION PROLONGÉE
PENTOXIFYLLINE EG LP 400 MG, COMPRIMÉ PELLICULÉ À LIBÉRATION PROLONGÉE
PENTOXIFYLLINE MYLAN LP 400 MG, COMPRIMÉ PELLICULÉ À LIBÉRATION PROLONGÉE
PENTOXYVERINE CLARIX 0,15 % ADULTES, SIROP
PENTOXYVERINE CLARIX 0,15 % ENFANTS, SIROP
PEPSANE, CAPSULE
PEPSANE, GEL BUVABLE EN SACHET-DOSE
PERCUTAFEINE, GEL
PERCUTALGINE SPRAY, SOLUTION POUR PULVÉRISATION CUTANÉE
PERFALGAN 10 MG/ML, SOLUTION POUR PERFUSION
PERFANE 100 MG/20 ML, SOLUTION INJECTABLE À DILUER POUR VOIE I.V.
PERGOVERIS (300 UI + 150 UI)/0,48 ML, SOLUTION INJECTABLE EN STYLO PRÉREMPLI
PERGOVERIS (450 UI + 225 UI)/0,72 ML, SOLUTION INJECTABLE EN STYLO PRÉREMPLI
PERGOVERIS (900 UI + 450 UI)/1,44 ML, SOLUTION INJECTABLE EN STYLO PRÉREMPLI
PERGOVERIS 150 UI/75 UI, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE
PERIACTINE 4 MG, COMPRIMÉ
PERIKABIVEN, ÉMULSION POUR PERFUSION
PERINDOPRIL ARGININE BIOGARAN 10 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE BIOGARAN 2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE BIOGARAN 5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PERINDOPRIL ARGININE EG 2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE HCS 10 MG, COMPRIMÉ
PERINDOPRIL ARGININE HCS 5 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL ARGININE SERVIER 2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE SERVIER 5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PERINDOPRIL ARGININE VIATRIS 10 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE VIATRIS 2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE VIATRIS 5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PERINDOPRIL ARGININE ZENTIVA 10 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE ZENTIVA 2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE ZENTIVA 5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PERINDOPRIL ARGININE/AMLODIPINE HCS 10 MG/10 MG, COMPRIMÉ
PERINDOPRIL ARGININE/AMLODIPINE HCS 10 MG/5 MG, COMPRIMÉ
PERINDOPRIL ARGININE/AMLODIPINE HCS 5 MG/10 MG, COMPRIMÉ
PERINDOPRIL ARGININE/AMLODIPINE HCS 5 MG/5 MG, COMPRIMÉ
PERINDOPRIL ARGININE/AMLODIPINE SERVIER 5 MG/5 MG, COMPRIMÉ
PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 2,5 MG/0,625 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 5 MG/1,25 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE/INDAPAMIDE HCS 10 MG/2,5 MG, COMPRIMÉ
PERINDOPRIL ARGININE/INDAPAMIDE HCS 5 MG/1,25 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL ARGININE/INDAPAMIDE SERVIER 10 MG/2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE/INDAPAMIDE VIATRIS 2,5 MG/0,625 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARGININE/INDAPAMIDE VIATRIS 5 MG/1,25 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL ARROW 2 MG, COMPRIMÉ
PERINDOPRIL ARROW 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL ARROW 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL ARROW 8 MG, COMPRIMÉ
PERINDOPRIL ARROW 8 MG, COMPRIMÉ
PERINDOPRIL ARROW LAB 2 MG, COMPRIMÉ
PERINDOPRIL ARROW LAB 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL ARROW LAB 8 MG, COMPRIMÉ
PERINDOPRIL BIOGARAN 2 MG, COMPRIMÉ
PERINDOPRIL BIOGARAN 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL BIOGARAN 8 MG, COMPRIMÉ
PERINDOPRIL EG 2 MG, COMPRIMÉ
PERINDOPRIL EG 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL EG 8 MG, COMPRIMÉ
PERINDOPRIL KRKA 2 MG, COMPRIMÉ
PERINDOPRIL KRKA 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL KRKA 8 MG, COMPRIMÉ
PERINDOPRIL MYLAN 2 MG, COMPRIMÉ
PERINDOPRIL MYLAN 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL MYLAN 8 MG, COMPRIMÉ
PERINDOPRIL SANDOZ 2 MG, COMPRIMÉ
PERINDOPRIL SANDOZ 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL SANDOZ 8 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE ARROW 4 MG/10 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE ARROW 4 MG/5 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE ARROW 8 MG/10 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE ARROW 8 MG/5 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE CRISTERS 4 MG/5 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE CRISTERS 8 MG/10 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE CRISTERS 8 MG/5 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE EG 4 MG/10 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE EG 4 MG/5 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE EG 8 MG/10 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE EG 8 MG/5 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE VIATRIS 4 MG/10 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE VIATRIS 4 MG/5 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE VIATRIS 8 MG/10 MG, COMPRIMÉ
PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE VIATRIS 8 MG/5 MG, COMPRIMÉ
PERINDOPRIL TEVA SANTE 2 MG, COMPRIMÉ
PERINDOPRIL TEVA SANTE 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL TEVA SANTE 8 MG, COMPRIMÉ
PERINDOPRIL TOSILATE CRISTERS 10 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL TOSILATE CRISTERS 2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL TOSILATE CRISTERS 5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PERINDOPRIL TOSILATE TEVA 10 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL TOSILATE TEVA 2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL TOSILATE TEVA 5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PERINDOPRIL TOSILATE/INDAPAMIDE TEVA 10 MG/2,5 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL TOSILATE/INDAPAMIDE TEVA 2,5 MG/0,625 MG, COMPRIMÉ PELLICULÉ
PERINDOPRIL TOSILATE/INDAPAMIDE TEVA 5 MG/1,25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
PERINDOPRIL VIATRIS 2 MG, COMPRIMÉ
PERINDOPRIL VIATRIS 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL VIATRIS 8 MG, COMPRIMÉ
PERINDOPRIL ZYDUS 2 MG, COMPRIMÉ
PERINDOPRIL ZYDUS 4 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL ZYDUS 8 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE HCS 4 MG/10 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE HCS 4 MG/5 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE HCS 8 MG/10 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE HCS 8 MG/5 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE ZENTIVA 4 MG/10 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE ZENTIVA 4 MG/5 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE ZENTIVA 8 MG/10 MG, COMPRIMÉ
PERINDOPRIL/AMLODIPINE ZENTIVA 8 MG/5 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE ARROW 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE BIOGARAN 2 MG/0,625 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL/INDAPAMIDE BIOGARAN 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE EG 2 MG/0,625 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE EG 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE KRKA 2 MG/0,625 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE KRKA 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE SANDOZ 2 MG/0,625 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE SANDOZ 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE TEVA 2 MG/0,625 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE TEVA 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE VIATRIS 2 MG/0,625 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE VIATRIS 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE ZENTIVA 4 MG/1,25 MG, COMPRIMÉ SÉCABLE
PERINDOPRIL/INDAPAMIDE ZENTIVA LAB 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE ZYDUS FRANCE 2 MG/0,625 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE ZYDUS FRANCE 4 MG/1,25 MG, COMPRIMÉ
PERINDOPRIL/INDAPAMIDE ZYDUS FRANCE 8 MG/2,5 MG, COMPRIMÉ
PERINUTRIFLEX LIPIDE G 64/N 4,6/E, ÉMULSION POUR PERFUSION
PERINUTRIFLEX OMEGA E, ÉMULSION POUR PERFUSION
PERIOLIMEL N4E, ÉMULSION POUR PERFUSION
PERISOC, SOLUTION DE CARDIOPLÉGIE/SOLUTION POUR CONSERVATION DORGANE
PERJETA 420 MG, SOLUTION À DILUER POUR PERFUSION
PERLEANE, COMPRIMÉ ENROBÉ
PERMIXON 160 MG, GÉLULE
PERMIXON 160 MG, GÉLULE
PERMIXON 160 MG, GÉLULE
PERMIXON 160 MG, GÉLULE
